Nonproprietary_Name_of_Drug,Drug_Pharmacological_Class,Proprietary_Name_of_Drug,NDC_Product_Code,Indication_For_Use,General_Side_Effects,Very_Common_Psychiatric_Side_Effects,Common_Psychiatric_Side_Effects,Uncommon_Psychiatric_Side_Effects,Rare_Psychiatric_Side_Effects,Very_Rare_Psychiatric_Side_Effects,Postmarketing_Reports_of_Psychiatric_Side_Effects,Frequency_Not_Reported_For_Psychiatric_Side_Effects
Tranylcypromine,MAOIs (Monoamine Oxidase Inhibitor),Parnate,24987-447,Major Depressive Episode Without Melancholia,"Dizziness, drowsiness, tiredness, weakness, problems sleeping, constipation, and dry mouth",,,,,," Confusion, disorientation","Insomnia, overstimulation (including increased anxiety, agitation, and manic symptoms), restlessness, sleep disturbances, hallucinations, drug dependence, suicidal ideation, suicidal behavior, withdrawal"
Diltiazem,Calcium-channel blocker,Cardizem,0187-0771,"High blood pressure, chest pain, congestive heart failure, and certain abnormal heart rhythms","Dizziness, edema, asthenia, headache, and vasodilatation",,,"Nervousness, insomnia",,, Mood changes (including depression)," Abnormal dreams, depression, hallucinations, personality change"
Diltiazem,Calcium-channel blocker,Tiazac,0187-2612,"High blood pressure, chest pain, congestive heart failure, and certain abnormal heart rhythms","Dizziness, edema, asthenia, headache, and vasodilatation",,,"Nervousness, insomnia",,, Mood changes (including depression)," Abnormal dreams, depression, hallucinations, personality change"
Triazolam,Benzodiazepine,Halcion,0009-0017,"Anxiety disorders, insomnia","Dizziness, insomnia, rebound insomnia, headache, and irritability",,"Anxiety, nervousness","Confusional states, depression, euphoria",,,," Abnormal dreams, acute rage, aggressiveness, agitation, bizarre behavior, delusions, dependence, depersonalization, derealization, disorientation in time or place, dysarthria, excitement, hallucinations, paranoia, hostility, nightmares, increased daytime anxiety, insomnia, sleep disturbances, stimulation, withdrawal syndrome"
Propranolol,Beta-adrenergic blocker,Inderal,62559-520,"Tremors, angina (chest pain), hypertension (high blood pressure), heart rhythm disorders, and other heart or circulatory conditions. It is also used to treat or prevent heart attack, and to reduce the severity and frequency of migraine headaches.","Dizziness, lightheadedness, or tiredness may occur as your body adjusts to the medication. Nausea/vomiting, stomach pain, vision changes, trouble sleeping, and unusual dreams may also occur",,,,"Depression (dose dependent), hallucinations, psychoses, mood changes, confusion, memory loss",,,
Propranolol,Beta-adrenergic blocker,Hemangeol,64370-375,"Tremors, angina (chest pain), hypertension (high blood pressure), heart rhythm disorders, and other heart or circulatory conditions. It is also used to treat or prevent heart attack, and to reduce the severity and frequency of migraine headaches.","Dizziness, lightheadedness, or tiredness may occur as your body adjusts to the medication. Nausea/vomiting, stomach pain, vision changes, trouble sleeping, and unusual dreams may also occur",,,,"Depression (dose dependent), hallucinations, psychoses, mood changes, confusion, memory loss",,,
Nifedipine,Calcium-channel blocker,Procardia,70518-0600,Hypertension (high blood pressure) and angina (chest pain),"Dizziness, peripheral edema, lower extremity edema, flushing, and flushing sensation, myocardial infarction, muscle cramps, tremor, cough, dyspnea, hypotension, wheezing, and flushing","Nervousness (2% or less to 7%), mood changes (7%), jitteriness (2% or less), anxiety, depression, and paroniria (1% or less) confusion (less than 1%) paranoid syndrome (less than 0.5%) and agitation and psychosis",,,,,,
Nifedipine,Calcium-channel blocker,Adalat CC,67544-185,Hypertension (high blood pressure) and angina (chest pain),"Dizziness, peripheral edema, lower extremity edema, flushing, and flushing sensation, myocardial infarction, muscle cramps, tremor, cough, dyspnea, hypotension, wheezing, and flushing","Nervousness (2% or less to 7%), mood changes (7%), jitteriness (2% or less), anxiety, depression, and paroniria (1% or less) confusion (less than 1%) paranoid syndrome (less than 0.5%) and agitation and psychosis",,,,,,
Nifedipine,Calcium-channel blocker,Nifediac CC,63629-1561,Hypertension (high blood pressure) and angina (chest pain),"Dizziness, peripheral edema, lower extremity edema, flushing, and flushing sensation, myocardial infarction, muscle cramps, tremor, cough, dyspnea, hypotension, wheezing, and flushing","Nervousness (2% or less to 7%), mood changes (7%), jitteriness (2% or less), anxiety, depression, and paroniria (1% or less) confusion (less than 1%) paranoid syndrome (less than 0.5%) and agitation and psychosis",,,,,,
Diazepam,Benzodiazepine,Valium,65084-312,"Anxiety disorders, alcohol withdrawal symptoms, or muscle spasms. Diazepam is sometimes used with other medications to treat seizures.","Drowsiness and hypotonia; Shakiness and unsteady walk; unsteadiness, trembling, or other problems with muscle control or coordination",,"Confusion, withdrawal symptoms, euphoria, increased anxiety/anxiety, panic, irritability, delirium, aggressiveness/aggression, numbed emotions, instability, restlessness, agitation, inappropriate behavior, delusions, rage, hallucinations, nightmares, confusional or paranoid psychosis/psychoses",,"Excitation, insomnia, hostility, disinhibition, emotional poverty, other adverse behavioral effects, delirium tremens-like state, broken sleep with vivid dreams, increased REM sleep, increased or decreased libido",,,
Nortriptyline,Tricyclic antidepressants,Pamelor,0406-9910,Depression,"Drowsiness, dizziness, dry mouth, blurred vision, constipation, weight gain, trouble urinating",,Confusion,"Hypomania, mania, anxiety, insomnia (especially on sudden withdrawal), changes in sleep patterns (including nightmares)","Confusional states, delirium (especially in older patients), hallucinations (in patients with schizophrenia), irritability",,," Disorientation, delusions, restlessness, agitation, panic, exacerbation of psychosis, suicidal ideation, aggressive outbursts"
Methsuximide,Anticonvulsant,Celontin,0071-0525,"Absence seizures (also called ""petit mal"" seizures)","Drowsiness, dizziness, stomach/abdominal pain, loss of appetite, nausea, vomiting, weight loss, diarrhea, headache, or loss of coordination","Confusion, instability, mental slowness, depression, hypochondriacal behavior, and aggressiveness. There have also been rare reports of psychosis, suicidal behavior, and auditory hallucinations",,,,,,
Ethosuximide,Anti-epileptic agent,Zarontin,0071-0237,"Absence seizures (also called ""petit mal"" seizures)","Drowsiness, dizziness, tiredness, headache, stomach upset, loss of appetite, nausea, vomiting, weight loss, diarrhea, or loss of coordination","Sleep disturbances, night terrors, inability to concentrate, and aggressiveness. Paranoid psychosis, increased libido, and increased state of depression with overt suicidal intentions",,,,,,
Flurazepam,Benzodiazepine,Flurazepam,60429-542,Insomnia,"Drowsiness, dizziness, vertigo, insomnia, confusion, headache, and irritability",,Numbed emotions,,"Euphoria, depression, hallucinations",,," Withdrawal syndrome, abnormal thinking, behavior changes, complex behaviors, worsening of depression, apprehension, irritability"
Clonazepam,Benzodiazepine/Anti-epileptic agent,Klonopin,0004-0058,"Seizure disorders (including absence seizures or Lennox-Gastaut syndrome), panic disorder (including agoraphobia)","Drowsiness, upper respiratory tract infection, ataxia, depression, and dizziness",,"Depression, emotional lability, confusion",,,,," Hallucinations, hysteria, insomnia, psychosis, excitability, irritability, aggressive behavior, agitation, hostility, anxiety, vivid dreams, hyperactivity, hypoesthesia, organic disinhibition, depersonalization, apathy, excitement, feeling mad, illusion, nightmares, sleep disorders, suicide ideation"
Pramipexole,Dopamine Agonist,Mirapex,0597-0101,"Symptoms of Parkinson's disease (stiffness, tremors, muscle spasms, and poor muscle control) and restless legs syndrome (RLS)","Drowsiness, visual hallucination, constipation, insomnia, xerostomia","Hallucinations (17%), insomnia (27%), dream abnormalities (11%), confusion (10%)","Paranoid reaction, delusions, confusion, sleep attacks, sleep disorder, depression","Hypersexuality, pathological gambling, delirium",Mania,," New or worsening mental status and behavioral changes, binge eating, compulsive shopping ", Impulse control/compulsive behaviors
Fluvastatin,HMG CoA reductase inhibitor (Statins),Lescol,68151-4471,"lowers cholesterol and triglycerides in blood, slows the build-up of plaque (fatty deposits) in blood vessels","Dyspepsia, myalgia",,Insomnia,,,," Anxiety, depression, psychic disturbances, loss of libido, confusion",
Simvastatin,HMG CoA reductase inhibitor (Statins),Zocor,0006-0543,lowers cholesterol and triglycerides in blood,Eczema and increased creatine phosphokinase,,,,,,,"Depression, suicidal thoughts, delusions, paranoia, agitation, decreased libido, anxiety, insomnia, nightmares"
Levomilnacipran,SNRIs (serotonin/norepinephrine reuptake inhibitor),Fetzima,69189-2241,Major depressive disorder,"erectile dysfunction, nausea, and orthostatic hypotension, constipation, ejaculatory disorder, epididymitis, increased heart rate, palpitations, premature ejaculation, sinus tachycardia, tachycardia, testicular pain, urinary hesitancy, vomiting, delayed ejaculation, ejaculation failure, and hyperhidrosis","Agitation, anger, bruxism, panic attack, tension, aggression, activation of mania/hypomania, discontinuation syndrome, suicidal thought and behaviors in adolescents and young adults",,,,,,
Interferon beta-1a,Interferon beta/ Recombinant Protein,Rebif,44087-0022,Multiple sclerosis (MS),"Flu-like symptoms, fever, headache, myalgia, nausea, and chills,  anemia",,"Depression/suicidal ideation, insomnia, somnolence",Anxiety,,,," Suicide attempt, suicide, psychosis, anxiety, confusion, emotional lability, anhedonia, psychotic thoughts, mood disturbances, hypersexuality, aggressive behavior, panic attacks"
Levothyroxine,l-Thyroxine (Thyroid hormone replacement),Synthroid,66336-340,"Hypothyroidism, goiter ","Hair loss, increased sweating, sensitivity to heat, mental/mood changes (such as nervousness, mood swings), tiredness, diarrhea, shaking (tremor), headache, shortness of breath",,,,,,,"Nervousness, anxiety, irritability, emotional lability"
Levothyroxine,l-Thyroxine (Thyroid hormone replacement),Levoxyl,60793-850,"Hypothyroidism, goiter ","Hair loss, increased sweating, sensitivity to heat, mental/mood changes (such as nervousness, mood swings), tiredness, diarrhea, shaking (tremor), headache, shortness of breath",,,,,,,"Nervousness, anxiety, irritability, emotional lability"
Levothyroxine,l-Thyroxine (Thyroid hormone replacement),Tirosint,24090-490,"Hypothyroidism, goiter ","Hair loss, increased sweating, sensitivity to heat, mental/mood changes (such as nervousness, mood swings), tiredness, diarrhea, shaking (tremor), headache, shortness of breath",,,,,,,"Nervousness, anxiety, irritability, emotional lability"
Levothyroxine,l-Thyroxine (Thyroid hormone replacement),Unithroid,60846-801,"Hypothyroidism, goiter ","Hair loss, increased sweating, sensitivity to heat, mental/mood changes (such as nervousness, mood swings), tiredness, diarrhea, shaking (tremor), headache, shortness of breath",,,,,,,"Nervousness, anxiety, irritability, emotional lability"
Modafinil,CNS Stimulant,Provigil,63459-101,"Treatment of excessive sleepiness caused by sleep apnea, narcolepsy, or shift work sleep disorder.","Headache and nausea, anorexia and xerostomia",,"Insomnia, anxiety, depression, agitation, nervousness, confusion, emotional lability, abnormal thinking, irritability","Sleep disorder, decreased libido, hostility, depersonalization, personality disorder, abnormal dreams, aggression, suicidal ideation, psychomotor hyperactivity","Hallucinations, mania, psychosis, delusions, suicide attempt",,,
Atorvastatin,HMG CoA reductase inhibitor (Statins),Lipitor,61919-540,"Treatment of  high cholesterol, and to lower the risk of stroke, heart attack, or other heart complications in type 2 diabetes, coronary heart disease, or other risk factors.","hemorrhagic stroke, arthralgia, diarrhea, and nasopharyngitis, urinary tract infection, insomnia, limb pain, muscle spasm, musculoskeletal pain, myalgia, and nausea",,Insomnia,Nightmare,,," Confusion, depression",
Cyclosporine,Immunosuppressive agent,Sandimmune,0078-0109,"Preventing the rejection of organ transplants (kidney, liver, and heart); treatment of chronic rejection in patients previously treated with other immunosuppressive agents","Hirsutism, hypertension, increased blood urea nitrogen, increased serum creatinine, nephrotoxicity, and tremor.","Tremors (12% to 55%) and headache (2% to 15%). Depression, somnolence, decreased visual acuity, confusion, paresthesias, seizures, and a reversible speech disorder leading to mutism",,,,,,
Fluoxetine,SSRIs (selective serotonin reuptake inhibitor),Prozac,0002-3004,"Major depressive disorder, bulimia nervosa (an eating disorder), obsessive-compulsive disorder, panic disorder, and premenstrual dysphoric disorder (PMDD)","Hives, itching, or skin rash; inability to sit still; restlessness; Chills or fever; joint or muscle pain","Anxiety, insomnia, nervousness","Abnormal dreams, disturbance in attention, emotional lability, feeling abnormal, restlessness, sleep disorder, tension, thinking abnormal","Akathisia, apathy, bruxism, depersonalization, elevated mood, euphoria, hostility, intentional overdose, manic reaction, neurosis, paranoid reaction, personality disorder, psychomotor hyperactivity, psychosis, suicide attempt","Agitation, antisocial reaction, delusions, hallucinations, hypomania, intentional injury, mania, panic attacks, stupor",,," Dysphemia, suicidal thoughts and behavior"
Fluoxetine,SSRIs (selective serotonin reuptake inhibitor),Sarafem,0430-0210,"Major depressive disorder, bulimia nervosa (an eating disorder), obsessive-compulsive disorder, panic disorder, and premenstrual dysphoric disorder (PMDD)","Hives, itching, or skin rash; inability to sit still; restlessness; Chills or fever; joint or muscle pain","Anxiety, insomnia, nervousness","Abnormal dreams, disturbance in attention, emotional lability, feeling abnormal, restlessness, sleep disorder, tension, thinking abnormal","Akathisia, apathy, bruxism, depersonalization, elevated mood, euphoria, hostility, intentional overdose, manic reaction, neurosis, paranoid reaction, personality disorder, psychomotor hyperactivity, psychosis, suicide attempt","Agitation, antisocial reaction, delusions, hallucinations, hypomania, intentional injury, mania, panic attacks, stupor",,," Dysphemia, suicidal thoughts and behavior"
Exemestane,Aromatase inhibitors,Aromasin ,0009-7663,"Treatment of breast cancer in postmenopausal women. It is often given to women whose cancer has progressed even after surgery, radiation, or other cancer medications have been tried without success","Hot flashes, hair loss, joint/bone/muscle pain, tiredness, unusual sweating, nausea, diarrhea, dizziness, and trouble sleeping",Insomnia (13.7%),"Depression, anxiety, confusion",,,,,
Anastrozole,Aromatase inhibitors,Arimidex,0310-0201,Treatment of breast cancer in postmenopausal women,"Hot flashes, headache, trouble sleeping, dizziness, stomach upset, nausea/vomiting, constipation, diarrhea, loss of appetite, weight gain, tiredness/weakness, increased coughing, or sore throat ","Mood disturbances (19%), depression, insomnia",,,,,,
Carvedilol,Beta blocker non-cardioselective,Coreg,0007-3370,Heart failure and hypertension (high blood pressure),"Hyperglycemia, angina pectoris, hypotension, nausea, orthostatic hypotension, rales, visual disturbance, and vomiting",,"Depression, depressed mood, somnolence","Sleep disorders, confusion, impaired concentration, abnormal thinking, paranoia, emotional lability, nervousness",,,,
Pravastatin,HMG CoA reductase inhibitor (Statins),Pravachol,0003-5178,lowers cholesterol and triglycerides in blood,"Increased serum alanine aminotransferase, skin rash, and increased creatine phosphokinase",,"Sleep disturbance, anxiety/nervousness, depression",Insomnia,,,, Libido change
Pregabalin,Anticonvulsant,Lyrica,60760-016,"Seizures, fibromyalgia, pain caused by nerve damage in people with diabetes (diabetic neuropathy), herpes zoster (post-herpetic neuralgia), or spinal cord injury","Infection, ataxia, blurred vision, constipation, diplopia, dizziness, drowsiness, fatigue, headache, peripheral edema, tremor, weight gain, visual field loss, accidental injury, xerostomia","Dizziness (up to 37%), somnolence (up to 25%)","Neuropathy, ataxia, vertigo, incoordination, tremor, abnormal gait, headache, speech disorder, twitching","Syncope, stupor, myoclonus, psychomotor hyperactivity, dyskinesia, dizziness postural, intention tremor, nystagmus, hyporeflexia, hyperesthesia, burning sensation, ageusia, malaise","Convulsions, parosmia, hypokinesia, dysgraphia, shock, circumoral paresthesia, dysarthria, hyperalgesia, hyperkinesia, hypokinesia, hypotonia, myoclonus, neuralgia cerebellar syndrome, cogwheel rigidity, coma, dysautonomia, dystonia, encephalopathy, extrapyramidal syndrome, Guillain-Barre syndrome, hypalgesia, intracranial hypertension, torticollis, trismus, peripheral neuritis",,,
Varenicline,Smoking cessation agent,Chantix,63187-618,Smoking cessation,"Insomnia, nausea, and abnormal dreams, constipation, dyspepsia, sleep disorder, vomiting, and flatulence","Abnormal dreams, insomnia","Sleep disorder, nightmare","Panic reaction, thinking abnormal, restlessness, mood swings, depression, anxiety, hallucinations, libido increased, libido decreased, irritability, aggression, agitation, disorientation, dissociation","Dysphoria, bradyphrenia, manic episode ",,,"Suicidal ideation, psychosis, abnormal behavior, somnambulism"
Methylphenidate,CNS Stimulant,Ritalin,0078-0370,"Attention deficit disorder (ADD), attention deficit hyperactivity disorder (ADHD), and narcolepsy","Insomnia, nausea, headache, vomiting, decreased appetite, and xerostomia, anxiety, tics, hyperhidrosis, and irritability","Emotional lability, insomnia, hallucination, mania, obsessive-compulsive disorder, nervousness",,,,,,
Ciprofloxacin,Fluoroquinolone antibiotic,Cipro,0065-8531,"Various bacterial infections, anthrax, plague","Nausea, diarrhea, dizziness, lightheadedness, headache, or trouble sleeping",,Restlessness,"Psychomotor hyperactivity/agitation, confusion, disorientation, hallucinations","Anxiety reaction, abnormal dreams, depression (depression and psychotic reactions both potentially culminating in self-injurious behavior such as suicidal ideations/thoughts and attempted or completed suicide have been reported), psychotic reactions",," Delirium, agitation, confusion, and toxic psychosis"," Depersonalization, insomnia, manic reaction, nightmares, paranoia, phobia, toxic psychosis, nervousness, self-injurious behavior, suicidal ideations/thoughts, attempted suicide, completed suicide, catatonia, mania (including hypomania)"
Acyclovir,Antiviral Agent,Zovirax,61786-186,"Infections caused by herpes viruses, such as genital herpes, cold sores, shingles, and chicken pox.","Nausea, phlebitis, vomiting, and inflammation at injection site",,,,,"Agitation, confusion, hallucinations, psychotic symptoms", Aggressive behavior," Depression, insomnia"
Acyclovir,Antiviral Agent,Sitavig,68712-049,"Infections caused by herpes viruses, such as genital herpes, cold sores, shingles, and chicken pox.","Nausea, phlebitis, vomiting, and inflammation at injection site",,,,,"Agitation, confusion, hallucinations, psychotic symptoms", Aggressive behavior," Depression, insomnia"
Efavirenz,Antiviral Agent,Sustiva,0056-0470,Acquired immunodeficiency syndrome (AIDS),"Diarrhea, nausea, and skin rash, dizziness, lack of concentration, fatigue, headache, vomiting, and anorexia","Depression (up to 19%), insomnia (included dreams/sleeping problems; up to 16.3%), anxiety (up to 13%)","Nervousness (included agitation/hyperactive), abnormal dreams, severe depression, hallucinations","Affect lability, confusional state, euphoric mood, suicidal ideation, nonfatal suicide attempts, aggressive behavior, paranoid reactions, manic reactions, drug abuse",,,"Aggressive reactions, agitation, delusions, emotional lability, mania, neurosis, paranoia, psychosis, completed suicide, psychosis-like behavior","Obsessive disorder, irritability, mood changes, vivid dreams, nightmares, delirium, increased libido, decreased libido, aggravated depression, apathy"
Codeine,Opioid Agonist,Acetaminophen and Codeine,60760-022,Mild to moderately severe pain,"Nausea, vomiting, constipation, lightheadedness, dizziness, drowsiness",,,"Euphoria, dysphoria, unusual dreams, hallucinations, insomnia, anxiety",,,," Mood changes, restlessness, confusion, mental depression"
Morphine,Opioid Agonist,AVINza,63629-3764,Mild to moderately severe pain,"Nausea, vomiting, constipation, lightheadedness, dizziness, drowsiness",,,"Abnormal thinking, abnormal dreams, depression, fearfulness, agitation, paranoia, psychosis, hypervigilance, hallucinations, delirium",,,, Withdrawal symptoms after abrupt cessation of therapy
Morphine,Opioid Agonist,Kadian,63629-4191,Mild to moderately severe pain,"Nausea, vomiting, constipation, lightheadedness, dizziness, drowsiness",,,"Abnormal thinking, abnormal dreams, depression, fearfulness, agitation, paranoia, psychosis, hypervigilance, hallucinations, delirium",,,, Withdrawal symptoms after abrupt cessation of therapy
Meperidine,Opioid Agonist,Demerol,63629-5461,Moderate to severe pain,"Nausea, vomiting, constipation, sweating, lightheadedness, dizziness, drowsiness",,,,,,,"Mood changes (e.g. euphoria, dysphoria), agitation, transient hallucinations and disorientation, confusion, dependence, anxiety, nervousness"
Gentamicin,Aminoglycoside Antibacterial,Gentak,70518-0633,severe or serious bacterial infections,"Nausea, vomiting, stomach upset, loss of appetite, pain/irritation/redness at the injection site",Depression,,,,,,
Gentamicin,Aminoglycoside Antibacterial,Gentamicin,63323-173,severe or serious bacterial infections,"Nausea, vomiting, stomach upset, loss of appetite, pain/irritation/redness at the injection site",Depression,,,,,,
Aspirin/Oxycodone,Opioid Agonist,Endodan,16590-947,Moderate to moderately severe pain,"Nausea, vomiting, upset stomach, constipation, dizziness, drowsiness, headache, increased sweating, dry mouth, lightheadedness, or weakness","Paranoia, psychosis, and hallucinations",,,,,,
Phenobarbital,CNS depressant/ barbiturates,Donnatal,66213-422,Anxiety and to prevent epileptic seizures,"Residual sedation, drowsiness, lethargy, vertigo, nausea, vomiting, headache",,,,,,"Accentuated emotional disturbances/phobias, aggression, excitement/hyperexcitability, restlessness, delirium, irritability, agitation, confusion, nightmares, nervousness, psychiatric disturbance, hallucinations, insomnia/sleep disturbance, anxiety, abnormality in thinking, paradoxical reaction (unusual excitement), mental depression/depression, cognitive impairment, behavioral disturbances in children, abnormal behavior, mood altered, subtle mood changes, menstrually related mood disorder, suicidal ideation, memory/concentration/judgment impairment, withdrawal syndrome, tolerance, dependence, psychic/physical dependence, mental confusion/confusion, disorientation. Some patients have experienced paradoxical excitement, restlessness, or delirium in the presence of pain. Paradoxical reactions, hallucinations, restlessness, hyperexcitability, and confusion have occurred in geriatric and pediatric patients. Pediatric patients were more likely to experience aggression or irritability",
Verapamil,Calcium-channel blocker,Calan,0025-1851,"Hypertension (high blood pressure), angina (chest pain), and certain heart rhythm disorders","Sinus bradycardia, pulmonary edema, severe hypotension, and second degree atrioventricular block",,Sleep disturbance,"Bad dreams, depression/emotional depression",,," Confusion, psychotic symptoms, insomnia, nervousness",
Verapamil,Calcium-channel blocker,Verelan,62175-580,"Hypertension (high blood pressure), angina (chest pain), and certain heart rhythm disorders","Sinus bradycardia, pulmonary edema, severe hypotension, and second degree atrioventricular block",,Sleep disturbance,"Bad dreams, depression/emotional depression",,," Confusion, psychotic symptoms, insomnia, nervousness",
Hydrocortisone,Corticosteroids,Hydrocortisone,62985-5125,Relief of the inflammatory and pruritic manifestations of corticosteroid-responsive dermatosis,"Skin rash, encrusted, scaly, and oozing, stinging",,,,,,,"Depression, emotional instability, euphoria, insomnia, mood swings, personality changes, psychic disorders"
Estrogen,Estrogen Receptor Agonist,Premarin,69189-1105,"Vaginal symptoms of menopause such as dryness, burning, irritation, and painful sexual intercourse.","Stomach upset, nausea/vomiting, bloating, breast tenderness, headache, or weight changes ",,,,,,"Mental depression, mood disturbances, nervousness, irritability, changes in libido",
Carbidopa and Levodopa,Levodopa/Carbidopa,Duopa,60429-152,Parkinson's disease,"Twitching, twisting, uncontrolled repetitive movements of the tongue, lips, face, arms, or legs","Anxiety, insomnia, depression (up to 11%)","Hallucinations, psychosis, abnormal dreams, sleep disorder, agitation, impulsive behavior, sleep attacks","Suicide, dementia, disorientation, euphoric mood, fear",Abnormal thinking,," Suicide attempt, suicidal ideation",
Carbidopa and Levodopa,Levodopa/Carbidopa,Sinemet,0006-3915,Parkinson's disease,"Twitching, twisting, uncontrolled repetitive movements of the tongue, lips, face, arms, or legs","Anxiety, insomnia, depression (up to 11%)","Hallucinations, psychosis, abnormal dreams, sleep disorder, agitation, impulsive behavior, sleep attacks","Suicide, dementia, disorientation, euphoric mood, fear",Abnormal thinking,," Suicide attempt, suicidal ideation",
Ethinyl Estradiol and Etonogestrel,Estrogen Receptor Agonist,NuvaRing,76413-131,Birth control,"Vaginal discomfort/irritation, nausea, vomiting, headache, bloating, breast tenderness, swelling of the ankles/feet (fluid retention), or weight change, vaginal bleeding","Crying depersonalization false or unusual sense of well-being hoarseness mental depression paranoia quick to react or overreact emotionally rapidly changing moods, mild feeling of sadness or discouragement that come and go",,,,,,
Donepezil,Cholinesterase inhibitors,Aricept,55154-2450,Dementia caused by Alzheimer disease,"Diarrhea, insomnia, nausea, fatigue, muscle cramps, vomiting, weight loss, anorexia, and ecchymoses",,"Hallucinations, agitation, aggressive behavior, abnormal dreams, nightmares, delusions, irritability, aggression, increased libido, restlessness","Emotional lability, paranoia, hostility, decreased libido, melancholia, emotional withdrawal, listlessness",,,,
Rivastigmine,Cholinesterase inhibitors,Exelon,0078-0323,Mild to moderate dementia caused by Alzheimer's or Parkinson's disease,"Abdominal pain, diarrhea, dizziness, headache, nausea, vomiting, weight loss, and anorexia","Tremor (23%), dizziness (21%)","Somnolence, bradykinesia, dyskinesia, cogwheel rigidity, hypokinesia, vertigo, psychomotor hyperactivity, gait disturbance, Parkinson gait, headache","Syncope, dystonia",Seizures,,,
Bicalutamide,Antiandrogens,Casodex,0310-0705,Prostate cancer,"Abdominal pain, nausea, mastalgia, flu-like symptoms, gynecomastia, vomiting, and anorexia",Insomnia,Depression,,,,,
Nilutamide,Antiandrogens,Nilandron,0088-1111,Prostate cancer,"Nausea, nocturnal amblyopia, decreased libido, hemeralopia, visual disturbance, chromatopsia, and loss of body hair",Insomnia,Depression,,,,,
Zonisamide,Carbonic anhydrase inhibitor/anticonvulsant,Zonegran,59212-680,Partial epileptic seizures in adults,"Somnolence, dizziness, and anorexia","Agitation, irritability, confusional state, depression","Difficulty concentrating, difficulty with memory, mental slowing, insomnia, anxiety, nervousness, affect liability, psychotic disorder","Anger, aggression, suicidal ideation, suicide attempt",,"Hallucination, amnesia, mania",,
Estazolam,Benzodiazepine,Estazolam,0591-0744,Insomnia,"drowsiness, headache, dizziness, vertigo, ataxia, and irritability",Somnolence (42%),"Anxiety, depression, abnormal dream, abnormal thinking","Agitation, apathy, emotional lability, euphoria, hostility, sleep disorder",Hallucinations,,,
Timolol,Beta blocker non-cardioselective,Timoptic,25010-812,"Hypertension, lowers the risk of another heart attack, migraine",cardiac failure and asthenia,Insomnia (10%),Nightmares,Hallucinations,,,,"Depression, somnolence, nervousness, diminished concentration, psychoses, confusion, sleep disturbances"
Medroxyprogesterone,Contraceptive,Depo-Provera,0009-0626,"Absent or irregular menstrual periods, decreases the risk of endometrial hyperplasia, prevents overgrowth in the lining of the uterus in postmenopausal women who are receiving estrogen hormone replacement therapy","Nausea, stomach cramping/bloating, dizziness, headache, tiredness, breast tenderness, decrease in breast size, acne, hair loss, weight gain, change in vaginal discharge",,"Depression, insomnia, anxiety, irritability, decreased libido","Euphoria, changes in libido ",Confusion,,Increased libido,"Anorgasmia, emotional disturbance, affective disorder,"
Clonidine,"Antiadrenergic agent, centrally acting",Catapres,0597-0006,Treating severe pain along with opioid (narcotic) pain medicines in certain cancer patients,"Drowsiness, fatigue, hypotension, lethargy, sedation, headache, upper abdominal pain, dizziness, and headache",Confusion (13%),"Depression, tearfulness, sleep disorder, hallucinations (both visual and auditory), nervousness, agitation",,"Delusional perception, nightmare ",,,"Libido decreased, restlessness, anxiety, irritability, behavior changes"
Clonidine,"Antiadrenergic agent, centrally acting",Duraclon,67457-218,Treating severe pain along with opioid (narcotic) pain medicines in certain cancer patients,"Drowsiness, fatigue, hypotension, lethargy, sedation, headache, upper abdominal pain, dizziness, and headache",Confusion (13%),"Depression, tearfulness, sleep disorder, hallucinations (both visual and auditory), nervousness, agitation",,"Delusional perception, nightmare ",,,"Libido decreased, restlessness, anxiety, irritability, behavior changes"
Clopidogrel,Platelet aggregation inhibitor,Plavix,21695-665,Prevents blood clots after a recent heart attack or stroke,"Easy bleeding/bruising, stomach upset/pain, diarrhea, and constipation",,Depression,,,,"Hallucinations, confusion",
Raloxifene,Hormone /antineoplastic,Evista,55289-266,"Osteoporosis, invasive breast cancer in women who are past menopause","Infection, flu-like symptoms, hot flash, sinusitis, leg cramps",,"Depression, insomnia",,,,,
